Timestamp (ms), GPS SPEED
68001,0.463
68020,0.463
68126,0.38891998
68226,0.05556
68326,0.05556
68426,0.0926
68528,0.0926
68628,0.0926
68729,0.01852
68829,0.05556
68940,0.03704
69043,0.01852
69043,0.01852
69143,0.07408
69143,0.07408
69243,0
69243,0
69346,0.01852
69446,0.01852
69546,0
69546,0
69646,0.03704
69646,0.03704
69746,0.01852
69746,0.01852
69847,0.01852
69947,0.01852
69947,0.01852
70048,0.01852
70048,0.01852
70148,0.01852
70148,0.01852
70248,0.01852
70348,0.01852
70448,0.03704
70548,0.01852
70650,0.03704
70750,0.01852
70850,0.01852
70951,0.01852
71051,0.01852
71154,0.03704
71254,0.0926
71354,0.07408
71454,0.0926
71555,0.07408
71657,0.01852
71757,0.01852
71858,0.03704
71958,0.05556
72062,0.05556
72162,0.0926
72262,0.03704
72362,0.07408
72462,0.07408
72566,0.01852
72666,0.0926
72766,0.03704
72866,0.01852
72972,0.01852
73075,0.01852
73175,0.05556
73275,0.07408
73377,0.07408
73477,0.05556
73577,0.03704
73677,0.0926
73781,0.05556
73881,0.03704
73981,0
73981,0
74081,0.01852
74181,0.05556
74181,0.05556
74281,0.05556
74381,0.01852
74481,0.03704
74582,0.01852
74582,0.01852
74682,0.01852
74682,0.01852
74784,0.01852
74884,0.01852
74884,0.01852
74984,0.03704
75084,0.01852
75084,0.01852
75184,0.03704
75285,0.01852
75285,0.01852
75385,0.01852
75385,0.01852
75485,0.01852
75586,0.01852
75688,0.03704
75788,0.01852
75788,0.01852
75888,0
75989,0.01852
76089,0.05556
76191,0.07408
76291,0.01852
76391,0.03704
76492,0.05556
76492,0.05556
76594,0.03704
76694,0.05556
76694,0.05556
76794,0.03704
76894,0.05556
76994,0.07408
77095,0.05556
77195,0.01852
77295,0
77396,0.01852
77499,0.0926
77599,0.03704
77699,0.05556
77799,0.0926
77901,0.0926
78001,0.0926
78109,0.07408
78210,0.07408
78310,0.07408
78410,0.07408
78510,0.07408
78610,0.07408
78712,0.07408
78812,0.07408
78912,0.07408
79012,0.05556
79112,0.05556
79212,0.05556
79312,0.05556
79412,0.05556
79516,0.05556
79616,0.05556
79716,0.05556
79816,0.05556
79932,0.05556
80045,0.05556
