Timestamp (ms), RPM SEC
85769,0
85837,586
85887,802
85969,486
86045,527
86157,357
86295,290
86432,290
86597,242
86727,307
86881,260
87006,320
87122,344
87249,314
87394,275
87518,323
87619,396
87701,486
87796,419
87871,534
87945,539
88012,602
88100,453
88175,533
88254,505
88332,513
88416,476
88502,465
88593,437
88677,478
88766,446
88859,430
88958,406
89055,412
89155,400
89249,423
89348,406
89440,434
89539,402
89641,391
89737,417
89837,400
89937,399
90027,441
90121,427
90214,428
90326,359
90395,579
90476,491
90569,430
90645,526
90720,531
90805,469
90883,513
90974,442
91049,527
91129,503
91212,478
91303,440
91385,490
91468,478
91558,444
91630,556
91710,500
91795,472
91880,468
91960,499
92041,493
92135,427
92215,503
92301,461
92393,436
92478,470
92571,430
92664,427
92748,479
92843,418
92931,453
93026,424
93124,406
93209,468
93302,431
93402,401
93510,368
93601,442
93690,450
93782,435
93876,423
93966,445
94061,419
94144,484
94234,441
94320,466
94411,440
94496,466
94587,442
94683,416
94758,533
94844,464
94936,434
95017,491
95111,428
95191,501
95280,446
95369,452
95463,424
95548,473
95645,412
95744,401
95834,447
95933,402
96038,382
96137,403
96247,363
96346,401
96451,382
96553,393
96660,372
96772,358
96883,359
96999,345
97117,339
97228,357
97344,346
97453,366
97567,350
97667,400
97758,438
97855,411
97954,406
98054,398
98154,401
98254,399
98359,383
98468,367
98577,364
98686,367
98806,332
98922,345
99056,298
99190,299
99324,298
99468,276
99602,299
99739,291
99879,286
100015,293
100151,293
100280,310
100410,306
100551,283
100676,320
100809,301
100958,268
101092,297
101232,285
101338,375
101486,270
101625,288
101761,293
101894,300
101997,391
102114,340
102246,303
102371,319
102505,298
102621,344
102757,294
102875,339
102992,340
103118,318
103240,326
103377,292
103484,373
103611,316
103729,337
103840,361
103956,344
104035,505
104135,399
104219,479
104314,418
104415,396
104509,424
104599,445
104703,384
104813,362
104913,400
105026,352
105144,340
105268,323
105390,327
105533,278
105653,333
105756,389
105863,374
105965,391
106064,402
106181,341
106269,455
106375,378
106485,363
106601,345
106704,386
106804,401
106890,464
107005,346
107087,488
107205,338
107296,439
107395,406
107501,376
107611,362
107715,384
107821,379
107939,337
108030,439
108143,355
108246,387
108347,396
108466,336
108571,378
108674,388
108787,354
108902,347
109009,373
109120,360
109269,269
109332,631
109436,385
109536,399
109636,399
109742,377
109841,405
109929,452
110029,399
110130,396
110231,395
110340,369
110440,400
110553,352
110659,377
110770,359
110870,400
110976,377
